city,prop_id,facility_type,floor_area,site_eui
San Francisco,158,Multifamily Housing,91765,32.4
San Francisco,159,Office,364985,51
San Francisco,160,Office,15837,18.1
San Francisco,161,Office,85554,41.6
San Francisco,162,Office,232398,47.6
San Francisco,163,Office,390497,33.3
San Francisco,164,Multifamily Housing,310408,52.3
San Francisco,165,Office,153493,64.2
San Francisco,166,Multifamily Housing,127865,21.4
San Francisco,167,Office,32100,40
San Francisco,168,Office,28000,44.4
San Francisco,169,Office,738880,47.5
San Francisco,170,Office,26476,69.9
San Francisco,171,Multifamily Housing,69769,75.9
San Francisco,172,Office,38000,17.1
San Francisco,173,Multifamily Housing,105189,36.5
San Francisco,174,Office,16178,58.8
San Francisco,175,Office,25000,56.7
San Francisco,176,Office,320421,37.8
San Francisco,177,Multifamily Housing,90615,22
San Francisco,178,Office,64104,60.5
San Francisco,179,Multifamily Housing,57954,47
San Francisco,180,Office,262125,39.5
San Francisco,181,Office,829730,53.6
San Francisco,182,Multifamily Housing,164406,22.7
San Francisco,183,Office,90600,41.8
San Francisco,184,Office,33451,56.9
San Francisco,185,Multifamily Housing,80360,48.9
San Francisco,186,Office,13824,36.7
San Francisco,187,Office,15150,60.3
San Francisco,188,Office,38508,65.2
San Francisco,189,Office,21206,23.2
San Francisco,190,Multifamily Housing,134732,37.2
San Francisco,191,Multifamily Housing,84759,56.2
San Francisco,192,Multifamily Housing,534441,33.1
San Francisco,193,Office,14100,83.7
San Francisco,194,Multifamily Housing,644857,41
San Francisco,195,Office,10000,135.3
San Francisco,196,Office,43193,22.3
San Francisco,197,Office,53715,68.8
San Francisco,198,Multifamily Housing,89310,34.6
San Francisco,199,Multifamily Housing,73562,40.8
San Francisco,200,Office,24682,25.6
San Francisco,201,Multifamily Housing,249147,36.4
San Francisco,202,Office,342355,60
San Francisco,203,Multifamily Housing,84684,45.7
San Francisco,204,Multifamily Housing,399838,38.9
San Francisco,205,Multifamily Housing,61553,55.4
San Francisco,206,Office,18267,46.9
San Francisco,207,Office,748027,64
San Francisco,208,Office,17650,25.9
San Francisco,209,Office,287627,40.1
San Francisco,210,Office,29690,30.6
San Francisco,211,Multifamily Housing,148168,26.4
