city,prop_id,facility_type,floor_area,site_eui
Los Angeles,134,Multifamily Housing,142000,49.2
Los Angeles,135,Multifamily Housing,128201,13.5
Los Angeles,136,Multifamily Housing,48318,34.2
Los Angeles,137,Multifamily Housing,298384,19.5
Los Angeles,138,Multifamily Housing,505273,52.9
Los Angeles,139,Multifamily Housing,778666,32.4
Los Angeles,140,Multifamily Housing,85946,40.3
Los Angeles,141,Multifamily Housing,23400,65.5
Los Angeles,142,Multifamily Housing,48868,2.2
Los Angeles,143,Multifamily Housing,32054,47.5
Los Angeles,144,Multifamily Housing,106276,21.8
Los Angeles,145,Multifamily Housing,21288,3.8
Los Angeles,146,Multifamily Housing,47060,23.7
Los Angeles,147,Multifamily Housing,39927,22.4
Los Angeles,148,Office,138383,46.7
Los Angeles,149,Multifamily Housing,58423,62.4
Los Angeles,150,Multifamily Housing,42411,60.9
Los Angeles,151,Office,54287,31.5
Los Angeles,152,Multifamily Housing,78653,4.9
Los Angeles,153,Multifamily Housing,29074,3
Los Angeles,154,Multifamily Housing,192306,44.1
Los Angeles,155,Multifamily Housing,17000,59.4
Los Angeles,156,Multifamily Housing,38657,21.6
Los Angeles,157,Multifamily Housing,33658,7.8
Los Angeles,158,Multifamily Housing,23476,3.7
Los Angeles,159,Multifamily Housing,20459,7
Los Angeles,160,Multifamily Housing,24132,24
Los Angeles,161,Office,74624,63.7
Los Angeles,162,Multifamily Housing,58136,3.1
Los Angeles,163,Multifamily Housing,33992,24.4
Los Angeles,164,Multifamily Housing,34168,37.8
Los Angeles,165,Multifamily Housing,40400,52.9
Los Angeles,166,Multifamily Housing,23232,24.2
Los Angeles,167,Multifamily Housing,38567,41.6
Los Angeles,168,Office,69477,74.3
Los Angeles,169,Multifamily Housing,191424,13.6
Los Angeles,170,Multifamily Housing,20784,23.6
Los Angeles,171,Multifamily Housing,60328,19.3
Los Angeles,172,Multifamily Housing,45088,73.8
Los Angeles,173,Office,774238,65.5
Los Angeles,174,Multifamily Housing,26033,49.7
Los Angeles,175,Multifamily Housing,24891,56.9
Los Angeles,176,Office,130191,58.6
Los Angeles,177,Multifamily Housing,29942,35.3
Los Angeles,178,Multifamily Housing,116386,66
Los Angeles,179,Office,165130,55.1
Los Angeles,180,Multifamily Housing,60698,35
Los Angeles,181,Multifamily Housing,40043,46.5
Los Angeles,182,Multifamily Housing,20649,53.3
Los Angeles,183,Multifamily Housing,30738,31.2
Los Angeles,184,Multifamily Housing,19175,33.7
Los Angeles,185,Multifamily Housing,62984,49.9
Los Angeles,186,Multifamily Housing,77919,20.9
Los Angeles,187,Multifamily Housing,88842,43.5
Los Angeles,188,Multifamily Housing,211105,24.9
Los Angeles,189,Multifamily Housing,62556,24.8
Los Angeles,190,Multifamily Housing,38382,21.6
Los Angeles,191,Multifamily Housing,119488,49.9
Los Angeles,192,Multifamily Housing,70695,48.2
Los Angeles,193,Multifamily Housing,24545,58.2
Los Angeles,194,Multifamily Housing,47731,21
Los Angeles,195,Multifamily Housing,20700,32
Los Angeles,196,Multifamily Housing,36511,19.1
Los Angeles,197,Multifamily Housing,29124,51.7
Los Angeles,198,Multifamily Housing,69467,36
Los Angeles,199,Multifamily Housing,60357,12.4
Los Angeles,200,Multifamily Housing,127927,66
Los Angeles,201,Multifamily Housing,24755,5.9
Los Angeles,202,Multifamily Housing,64176,21.9
Los Angeles,203,Office,289965,38.6
Los Angeles,204,Multifamily Housing,42187,24.2
Los Angeles,205,Multifamily Housing,61101,25.7
Los Angeles,206,Multifamily Housing,130282,44.3
Los Angeles,207,Multifamily Housing,29250,34.9
Los Angeles,208,Multifamily Housing,51844,19.9
Los Angeles,209,Multifamily Housing,76409,13.2
Los Angeles,210,Multifamily Housing,29072,41.7
Los Angeles,211,Multifamily Housing,58401,24.2
Los Angeles,212,Multifamily Housing,69760,22.4
Los Angeles,213,Multifamily Housing,33756,35.3
Los Angeles,214,Office,22146,14.8
Los Angeles,215,Multifamily Housing,98262,7.2
Los Angeles,216,Multifamily Housing,87436,36.3
Los Angeles,217,Multifamily Housing,49587,29.7
Los Angeles,218,Multifamily Housing,33480,23.4
Los Angeles,219,Multifamily Housing,28416,25.2
Los Angeles,220,Multifamily Housing,27006,37.3
Los Angeles,221,Multifamily Housing,94000,25.8
Los Angeles,222,Multifamily Housing,54602,25
Los Angeles,223,Multifamily Housing,28000,10
Los Angeles,224,Office,174084,76.3
Los Angeles,225,Multifamily Housing,47946,28.7
Los Angeles,226,Multifamily Housing,28631,32
Los Angeles,227,Office,24346,4.1
Los Angeles,228,Multifamily Housing,23828,29
Los Angeles,229,Office,65981,45.4
Los Angeles,230,Office,35000,181.9
Los Angeles,231,Multifamily Housing,21378,45.1
Los Angeles,232,Multifamily Housing,27846,84.1
Los Angeles,233,Multifamily Housing,35550,31.8
Los Angeles,234,Multifamily Housing,28560,41.2
Los Angeles,235,Office,75883,80.6
Los Angeles,236,Multifamily Housing,39392,36.9
Los Angeles,237,Multifamily Housing,67664,49.9
Los Angeles,238,Office,64947,95.4
Los Angeles,239,Multifamily Housing,20140,30.1
Los Angeles,240,Office,61949,80.6
Los Angeles,241,Multifamily Housing,24492,41
Los Angeles,242,Multifamily Housing,53860,37.5
Los Angeles,243,Office,24495,33
Los Angeles,244,Office,90900,80.9
Los Angeles,245,Office,57550,110.7
Los Angeles,246,Office,128908,57.8
Los Angeles,247,Office,33174,11.6
Los Angeles,248,Office,34284,89.4
Los Angeles,249,Office,16336,304.3
Los Angeles,250,Office,98687,75.8
Los Angeles,251,Multifamily Housing,27118,52
Los Angeles,252,Office,142656,44.8
Los Angeles,253,Multifamily Housing,64652,28.7
Los Angeles,254,Multifamily Housing,23072,15.2
Los Angeles,255,Office,7773,304.3
Los Angeles,256,Office,183837,47
Los Angeles,257,Office,25404,14.6
Los Angeles,258,Multifamily Housing,36725,45.3
Los Angeles,259,Multifamily Housing,23063,12.4
Los Angeles,260,Office,22705,3.8
Los Angeles,261,Multifamily Housing,51120,51.6
Los Angeles,262,Multifamily Housing,32001,51.9
Los Angeles,263,Multifamily Housing,24795,43.9
Los Angeles,264,Multifamily Housing,32297,41.9
Los Angeles,265,Multifamily Housing,25720,35.5
Los Angeles,266,Office,32090,304.3
Los Angeles,267,Multifamily Housing,22664,35.6
Los Angeles,268,Office,358478,35.2
Los Angeles,269,Multifamily Housing,24211,3.5
Los Angeles,270,Office,279268,31.5
Los Angeles,271,Office,98860,48.1
Los Angeles,272,Multifamily Housing,29742,10.4
Los Angeles,273,Multifamily Housing,29976,40.4
Los Angeles,274,Multifamily Housing,36876,14.8
Los Angeles,275,Multifamily Housing,28872,29.9
Los Angeles,276,Multifamily Housing,20738,4
Los Angeles,277,Multifamily Housing,24264,16.7
Los Angeles,278,Multifamily Housing,44534,17.6
Los Angeles,279,Multifamily Housing,34857,6.1
Los Angeles,280,Multifamily Housing,26856,3.4
Los Angeles,281,Multifamily Housing,53247,31.2
Los Angeles,282,Multifamily Housing,31742,38.6
Los Angeles,283,Multifamily Housing,26231,33.2
Los Angeles,284,Multifamily Housing,25024,30.1
Los Angeles,285,Multifamily Housing,15500,60.2
Los Angeles,286,Multifamily Housing,25971,41.7
Los Angeles,287,Multifamily Housing,23080,4
Los Angeles,288,Multifamily Housing,31937,3.7
Los Angeles,289,Multifamily Housing,50725,30.2
Los Angeles,290,Multifamily Housing,36030,2.2
Los Angeles,291,Multifamily Housing,21600,11.4
Los Angeles,292,Multifamily Housing,26000,15.8
Los Angeles,293,Multifamily Housing,47315,18.8
Los Angeles,294,Multifamily Housing,25070,2.2
Los Angeles,295,Multifamily Housing,101624,4.5
Los Angeles,296,Multifamily Housing,116201,45.5
Los Angeles,297,K-12 School,23178,19.3
Los Angeles,298,Multifamily Housing,18782,2.7
Los Angeles,299,Multifamily Housing,65269,2.5
Los Angeles,300,Multifamily Housing,30261,23.5
Los Angeles,301,Multifamily Housing,34231,16
Los Angeles,302,Multifamily Housing,33075,4.3
Los Angeles,303,Multifamily Housing,128832,35.4
Los Angeles,304,Multifamily Housing,32174,49
Los Angeles,305,Multifamily Housing,75535,31.9
Los Angeles,306,Multifamily Housing,72490,6
Los Angeles,307,Office,31765,55
Los Angeles,308,Multifamily Housing,25838,49.5
Los Angeles,309,Multifamily Housing,34834,32.6
Los Angeles,310,Office,53365,51.7
Los Angeles,311,Office,63704,16.6
Los Angeles,312,Multifamily Housing,21207,43.3
Los Angeles,313,Multifamily Housing,38173,32.4
Los Angeles,314,Multifamily Housing,86866,74.2
Los Angeles,315,Multifamily Housing,24518,22.6
Los Angeles,316,Multifamily Housing,42653,33.3
Los Angeles,317,Multifamily Housing,21632,45.8
Los Angeles,318,Multifamily Housing,33400,31.3
Los Angeles,319,Office,86702,63.1
Los Angeles,320,Multifamily Housing,42945,41.4
Los Angeles,321,Office,14391,25.2
Los Angeles,322,Multifamily Housing,27645,51.1
Los Angeles,323,Multifamily Housing,59463,6.9
Los Angeles,324,Multifamily Housing,32950,26.1
Los Angeles,325,Multifamily Housing,39617,37.6
Los Angeles,326,Office,2771457,33.1
Los Angeles,327,Multifamily Housing,52500,51.4
Los Angeles,328,K-12 School,205139,64.9
Los Angeles,329,Office,453805,50.5
Los Angeles,330,Multifamily Housing,24510,31.6
Los Angeles,331,Multifamily Housing,88888,27.5
Los Angeles,332,Multifamily Housing,129344,31.2
Los Angeles,333,Multifamily Housing,26795,78.7
Los Angeles,334,Multifamily Housing,38212,47.4
Los Angeles,335,Office,176888,45.7
Los Angeles,336,Multifamily Housing,82440,36.5
Los Angeles,337,Multifamily Housing,207726,53.8
Los Angeles,338,Multifamily Housing,49480,42.8
Los Angeles,339,Multifamily Housing,49050,16.7
