city,prop_id,facility_type,floor_area,site_eui
Seattle,177,Office,95426,48.5
Seattle,178,Office,53472,96.8
Seattle,179,Office,166128,58.5
Seattle,180,Office,268920,36.1
Seattle,181,Office,87833,60.3
Seattle,182,Office,143508,40.2
Seattle,183,Office,53250,38.3
Seattle,184,Office,51592,50.4
Seattle,185,Office,183578,50.5
Seattle,186,Office,211900,43.4
Seattle,187,Office,62220,39.4
Seattle,188,Office,54175,84.2
Seattle,189,Office,77953,52.5
Seattle,190,Office,86483,72.3
Seattle,191,Office,91649,56.3
Seattle,192,Office,104500,59.7
Seattle,193,Office,53620,49.1
Seattle,194,Office,50008,41.1
Seattle,195,Office,191000,40.1
Seattle,196,Office,124721,88.9
Seattle,197,Office,94002,65
Seattle,198,Office,228796,39.8
Seattle,199,Office,78920,30.2
Seattle,200,Office,73260,51.3
Seattle,201,Office,69817,39.5
Seattle,202,Office,84750,30.8
Seattle,203,Office,62176,55.7
Seattle,204,Office,164380,50.1
Seattle,205,Office,160580,51.8
Seattle,206,Office,54805,65.6
Seattle,207,Office,73470,47.6
Seattle,208,Office,103200,42.4
Seattle,209,Office,66842,104.9
Seattle,210,Office,64488,43.6
Seattle,211,Office,204504,34.9
Seattle,212,Office,285914,77.7
Seattle,213,Office,64512,100
Seattle,214,Office,60592,87.5
Seattle,215,Office,1750319,47.2
Seattle,216,Office,76624,41
Seattle,217,Office,55123,109.5
Seattle,218,Office,121885,64.8
Seattle,219,Multifamily Housing,106740,30.6
Seattle,220,Office,312512,69.5
Seattle,221,Office,1295457,42
Seattle,222,Office,97720,104.8
Seattle,223,Office,166975,65.9
Seattle,224,Office,56700,54.2
Seattle,225,Office,72000,38.2
Seattle,226,Office,96254,39.8
Seattle,227,Multifamily Housing,276497,44.6
Seattle,228,Office,237527,48.8
Seattle,229,Multifamily Housing,195993,66.6
Seattle,230,Office,454273,54.7
Seattle,231,Office,88470,51.6
Seattle,232,Office,78852,64.4
Seattle,233,Office,98668,43.5
Seattle,234,Office,213696,52.5
Seattle,235,Office,59800,48.4
Seattle,236,Office,110111,98.4
Seattle,237,Office,87051,141.3
Seattle,238,Office,103966,57.6
Seattle,239,Office,137201,33.6
Seattle,240,Office,129362,59.4
Seattle,241,Office,197203,56.8
Seattle,242,Office,187130,50.3
Seattle,243,Office,133177,116.6
Seattle,244,Office,93555,43.7
Seattle,245,Office,167860,37.4
Seattle,246,Office,211043,23.7
Seattle,247,Office,112560,43.5
Seattle,248,Office,86204,40.8
Seattle,249,Office,112896,90.5
Seattle,250,Office,70074,75.4
Seattle,251,Office,113768,50.9
Seattle,252,Office,51374,144.1
Seattle,253,Office,118054,37.6
Seattle,254,Office,157186,41.3
Seattle,255,Office,84210,45.4
Seattle,256,Office,76893,145.7
Seattle,257,Office,126370,49.6
Seattle,258,Office,274362,34.4
Seattle,259,Office,261722,65.6
Seattle,260,Office,169020,56.3
Seattle,261,Office,293737,55.5
Seattle,262,Office,132998,29
Seattle,263,Office,51218,31.5
Seattle,264,Office,387655,90.9
Seattle,265,Office,203251,80
Seattle,266,Office,189175,128.1
Seattle,267,Office,219095,66.2
Seattle,268,Office,122356,43.2
Seattle,269,Office,52298,39.2
Seattle,270,Office,116640,48.7
Seattle,271,Office,1047934,87.2
Seattle,272,Office,129000,40.8
Seattle,273,Office,1632820,55.2
Seattle,274,Office,81300,48.7
Seattle,275,Office,224857,60.9
Seattle,276,Office,321473,35.6
Seattle,277,Office,62370,59.2
Seattle,278,Office,99122,145.3
Seattle,279,Office,93610,58.6
Seattle,280,Office,238148,41.2
Seattle,281,Office,85126,22.8
Seattle,282,Office,142510,61
Seattle,283,Office,79920,71.6
Seattle,284,Office,212533,62.1
Seattle,285,Office,275166,34.9
Seattle,286,K-12 School,52924,36.8
Seattle,287,Office,90266,56
Seattle,288,K-12 School,55353,21.5
Seattle,289,Office,338063,58.9
Seattle,290,K-12 School,61183,39
Seattle,291,Multifamily Housing,31334,22.4
Seattle,292,Multifamily Housing,47658,26.8
Seattle,293,Multifamily Housing,56986,34.7
Seattle,294,Multifamily Housing,24059,30.9
Seattle,295,Multifamily Housing,60487,28.9
Seattle,296,Multifamily Housing,29914,30.1
Seattle,297,Multifamily Housing,74614,54.8
Seattle,298,Multifamily Housing,23937,26.6
Seattle,299,K-12 School,46732,52.1
Seattle,300,Multifamily Housing,86992,34.5
Seattle,301,Multifamily Housing,26211,53.8
Seattle,302,Multifamily Housing,28260,80.6
Seattle,303,Multifamily Housing,321945,72.7
Seattle,304,Multifamily Housing,22852,25.1
Seattle,305,Office,38460,48.1
Seattle,306,Multifamily Housing,86955,30.9
Seattle,307,Multifamily Housing,194919,29.8
Seattle,308,Multifamily Housing,20214,29.4
Seattle,309,Multifamily Housing,21888,33.2
Seattle,310,Multifamily Housing,66849,29.7
Seattle,311,Multifamily Housing,30240,28.2
Seattle,312,Multifamily Housing,59440,47
Seattle,313,Multifamily Housing,22445,22.7
Seattle,314,Multifamily Housing,45878,23.2
Seattle,315,Multifamily Housing,37824,26.2
Seattle,316,Multifamily Housing,38765,39.7
Seattle,317,K-12 School,51489,44.8
Seattle,318,Multifamily Housing,26815,39.3
Seattle,319,Multifamily Housing,22529,28.5
Seattle,320,Multifamily Housing,88424,51.5
Seattle,321,Multifamily Housing,21991,30.7
Seattle,322,Multifamily Housing,120405,31.1
Seattle,323,Multifamily Housing,23976,24.9
Seattle,324,Multifamily Housing,169149,32.4
Seattle,325,Multifamily Housing,25368,33.3
Seattle,326,Office,43500,77.7
Seattle,327,Office,22325,41.1
Seattle,328,Multifamily Housing,50141,72.1
Seattle,329,Multifamily Housing,114212,59.7
Seattle,330,Multifamily Housing,58954,51.6
Seattle,331,Multifamily Housing,37992,36.1
Seattle,332,Multifamily Housing,62876,28.6
Seattle,333,Multifamily Housing,40562,30
Seattle,334,Multifamily Housing,40489,56.5
Seattle,335,Multifamily Housing,28500,29.6
Seattle,336,Multifamily Housing,24169,31.3
Seattle,337,Multifamily Housing,105707,47.7
Seattle,338,Multifamily Housing,86560,53.1
Seattle,339,Multifamily Housing,79235,48.5
Seattle,340,Multifamily Housing,95456,37
Seattle,341,Multifamily Housing,135433,29.4
Seattle,342,Multifamily Housing,33400,52.4
Seattle,343,Multifamily Housing,85042,42.1
Seattle,344,K-12 School,37327,34.8
Seattle,345,Multifamily Housing,37619,26.4
Seattle,346,Multifamily Housing,24178,31.8
Seattle,347,Multifamily Housing,107518,40.7
Seattle,348,Multifamily Housing,30720,31.6
Seattle,349,Multifamily Housing,167941,17
Seattle,350,Multifamily Housing,38970,21.7
Seattle,351,Multifamily Housing,24648,21.2
Seattle,352,Multifamily Housing,34270,31.8
Seattle,353,Multifamily Housing,24864,24.2
Seattle,354,Multifamily Housing,39050,37.6
Seattle,355,Multifamily Housing,77800,58.3
Seattle,356,Office,48505,105.3
Seattle,357,Multifamily Housing,409137,33.5
Seattle,358,Multifamily Housing,94595,24.8
Seattle,359,Office,64630,20
Seattle,360,Multifamily Housing,26640,79.1
Seattle,361,Multifamily Housing,40329,106.3
Seattle,362,Office,20565,39.2
Seattle,363,Multifamily Housing,34880,22.8
Seattle,364,Multifamily Housing,56776,27.8
Seattle,365,Multifamily Housing,77887,37.7
Seattle,366,Multifamily Housing,26880,47.6
Seattle,367,Multifamily Housing,23098,19.9
Seattle,368,Multifamily Housing,171306,27.5
Seattle,369,Multifamily Housing,43228,28.3
Seattle,370,Multifamily Housing,23231,22.9
Seattle,371,Multifamily Housing,172125,48.7
Seattle,372,Multifamily Housing,39251,30.5
Seattle,373,Multifamily Housing,44715,41.6
Seattle,374,Multifamily Housing,21715,27
Seattle,375,Multifamily Housing,62659,36.2
Seattle,376,Multifamily Housing,56652,28.3
Seattle,377,Multifamily Housing,20798,30
Seattle,378,Multifamily Housing,19542,27.8
Seattle,379,Multifamily Housing,31537,29.1
Seattle,380,Multifamily Housing,48744,31.8
Seattle,381,Multifamily Housing,23931,24.2
Seattle,382,Multifamily Housing,72763,31.1
Seattle,383,Multifamily Housing,59600,24.2
Seattle,384,Multifamily Housing,32170,24.7
Seattle,385,Multifamily Housing,47151,48.1
Seattle,386,Multifamily Housing,21712,63.2
Seattle,387,Multifamily Housing,46413,39.5
Seattle,388,Multifamily Housing,57856,28.1
Seattle,389,Multifamily Housing,53698,20.6
Seattle,390,Multifamily Housing,23338,72.6
Seattle,391,Multifamily Housing,39594,21.5
Seattle,392,Office,20028,30.8
Seattle,393,Multifamily Housing,65535,46.2
Seattle,394,Office,23563,33.6
Seattle,395,Office,26840,60.8
Seattle,396,Office,37350,31.8
Seattle,397,Office,28800,56.9
Seattle,398,Multifamily Housing,36676,59.6
Seattle,399,Office,28584,42.6
Seattle,400,Office,49800,47.8
Seattle,401,Multifamily Housing,33440,102.5
Seattle,402,Multifamily Housing,54102,53.7
Seattle,403,Multifamily Housing,226500,63.4
Seattle,404,Multifamily Housing,142497,25
Seattle,405,Multifamily Housing,143183,46
Seattle,406,Multifamily Housing,21284,41.8
Seattle,407,Multifamily Housing,48786,30.9
Seattle,408,Office,27000,125.3
Seattle,409,Multifamily Housing,60476,45.2
Seattle,410,Multifamily Housing,538339,48.9
Seattle,411,Multifamily Housing,25129,49.4
Seattle,412,Multifamily Housing,41359,76.5
Seattle,413,Multifamily Housing,21095,36.4
Seattle,414,Multifamily Housing,129092,30
Seattle,415,Multifamily Housing,18162,24.8
Seattle,416,Office,28304,43.2
Seattle,417,Multifamily Housing,442704,34.4
Seattle,418,Multifamily Housing,31054,31.4
Seattle,419,Multifamily Housing,34060,56.4
Seattle,420,Multifamily Housing,37300,64.1
Seattle,421,Multifamily Housing,254309,28
Seattle,422,Multifamily Housing,119764,25
Seattle,423,Multifamily Housing,40636,63.1
Seattle,424,Multifamily Housing,22400,35.1
Seattle,425,Multifamily Housing,70200,49.5
Seattle,426,Multifamily Housing,21840,47.3
Seattle,427,Multifamily Housing,27993,80.2
Seattle,428,Multifamily Housing,326619,43.4
Seattle,429,Office,23752,62
Seattle,430,Multifamily Housing,34080,34.5
Seattle,431,Multifamily Housing,224732,18
Seattle,432,Multifamily Housing,62607,26.3
Seattle,433,Multifamily Housing,31702,34.4
Seattle,434,Multifamily Housing,29765,55.6
Seattle,435,Multifamily Housing,27182,75.7
Seattle,436,Multifamily Housing,91435,36
Seattle,437,Multifamily Housing,22374,21.8
Seattle,438,Multifamily Housing,61802,66.6
Seattle,439,K-12 School,35805,20
Seattle,440,Multifamily Housing,42561,36.7
Seattle,441,Multifamily Housing,51490,31.5
Seattle,442,Multifamily Housing,45348,29.3
Seattle,443,Multifamily Housing,31317,35.8
Seattle,444,Multifamily Housing,99372,41.2
Seattle,445,Multifamily Housing,26744,24.8
Seattle,446,Multifamily Housing,30060,25.4
Seattle,447,Multifamily Housing,119996,42.2
Seattle,448,Multifamily Housing,23794,24
Seattle,449,Multifamily Housing,48996,32.7
Seattle,450,Multifamily Housing,37090,29.9
Seattle,451,Multifamily Housing,23533,52.2
Seattle,452,Multifamily Housing,50098,44.1
Seattle,453,Multifamily Housing,32612,24.7
Seattle,454,Multifamily Housing,58485,43.3
Seattle,455,Multifamily Housing,91617,29.6
Seattle,456,Multifamily Housing,52654,30.9
Seattle,457,Office,20384,65.9
Seattle,458,Multifamily Housing,21528,30.6
Seattle,459,Multifamily Housing,273154,43
Seattle,460,Multifamily Housing,26157,14
Seattle,461,Multifamily Housing,39201,70
Seattle,462,Multifamily Housing,23568,42.8
Seattle,463,Multifamily Housing,21130,70.5
Seattle,464,Multifamily Housing,36880,57.9
Seattle,465,Office,32256,99.6
Seattle,466,Multifamily Housing,340214,54
Seattle,467,Multifamily Housing,140241,67.5
Seattle,468,Multifamily Housing,159820,24.8
Seattle,469,Multifamily Housing,60858,33.5
Seattle,470,Multifamily Housing,28033,27.6
Seattle,471,Multifamily Housing,39816,33.2
Seattle,472,Multifamily Housing,75187,95.1
Seattle,473,Multifamily Housing,63924,28.5
Seattle,474,Multifamily Housing,20400,40.4
Seattle,475,Multifamily Housing,28296,27.1
Seattle,476,Multifamily Housing,41664,23.4
Seattle,477,Multifamily Housing,67403,86.9
Seattle,478,Multifamily Housing,371539,23.3
Seattle,479,Multifamily Housing,30180,66.5
Seattle,480,K-12 School,21600,88
Seattle,481,K-12 School,22860,48.8
Seattle,482,Multifamily Housing,25490,27.6
Seattle,483,Multifamily Housing,297636,32.7
Seattle,484,Multifamily Housing,25137,27.6
Seattle,485,Multifamily Housing,31236,27.2
Seattle,486,Multifamily Housing,140759,30.6
Seattle,487,Multifamily Housing,27119,22.5
Seattle,488,Multifamily Housing,43752,35.3
Seattle,489,Multifamily Housing,52588,23.8
Seattle,490,Multifamily Housing,160561,39.4
Seattle,491,Multifamily Housing,34678,29.1
Seattle,492,Multifamily Housing,145812,35
Seattle,493,K-12 School,38624,36.4
Seattle,494,Multifamily Housing,22874,26
Seattle,495,Multifamily Housing,21469,26.4
Seattle,496,Multifamily Housing,50252,32.1
Seattle,497,Multifamily Housing,20480,31
Seattle,498,Multifamily Housing,43130,25.6
Seattle,499,Multifamily Housing,93502,32.6
Seattle,500,Multifamily Housing,20260,29.5
Seattle,501,Multifamily Housing,23742,27.7
Seattle,502,Multifamily Housing,16758,30.3
Seattle,503,Multifamily Housing,21176,26.2
Seattle,504,Multifamily Housing,31075,21.3
Seattle,505,Multifamily Housing,28700,26.4
Seattle,506,Multifamily Housing,22542,25.8
Seattle,507,Multifamily Housing,24680,31.9
Seattle,508,Multifamily Housing,63837,43
Seattle,509,Multifamily Housing,22320,81.7
Seattle,510,Multifamily Housing,26639,25.5
Seattle,511,Multifamily Housing,27671,29.2
Seattle,512,Multifamily Housing,25568,28.2
Seattle,513,Multifamily Housing,25904,36.1
Seattle,514,Multifamily Housing,24548,29.5
Seattle,515,Multifamily Housing,53480,36.9
Seattle,516,Multifamily Housing,104050,23.5
Seattle,517,Multifamily Housing,114503,30
Seattle,518,Multifamily Housing,26120,46.7
Seattle,519,Multifamily Housing,47791,24.8
Seattle,520,Multifamily Housing,29683,29.8
Seattle,521,Multifamily Housing,40791,37.1
Seattle,522,Multifamily Housing,56319,54.2
Seattle,523,Multifamily Housing,30948,20.7
