city,prop_id,facility_type,floor_area,site_eui
Boston,166,Multifamily Housing,97300,63
Boston,167,Multifamily Housing,60440,85
Boston,168,Office,64564,110.7
Boston,169,Office,65016,130.9
Boston,170,Office,364493,57
Boston,171,Office,45673,62.6
Boston,172,Office,281600,84.4
Boston,173,Office,56742,57.2
Boston,174,Multifamily Housing,76800,38.7
Boston,175,Multifamily Housing,271704,55.3
Boston,176,Multifamily Housing,130920,73.7
Boston,177,Office,68201,70.9
Boston,178,Multifamily Housing,85000,56.5
Boston,179,Multifamily Housing,24830,80.4
Boston,180,Office,656894,68.8
Boston,181,Multifamily Housing,47810,31.9
Boston,182,Office,138350,55.4
Boston,183,Office,168408,51.2
Boston,184,Multifamily Housing,73200,64.3
Boston,185,Multifamily Housing,100000,43.6
Boston,186,Multifamily Housing,82800,94.6
Boston,187,Office,225294,66.1
Boston,188,Multifamily Housing,71938,56.6
Boston,189,Multifamily Housing,55472,80.4
Boston,190,Multifamily Housing,55472,91.6
Boston,191,Multifamily Housing,28116,77.2
Boston,192,Multifamily Housing,260000,45.2
Boston,193,Multifamily Housing,19200,77.4
Boston,194,Office,50000,45.7
Boston,195,Office,11683,762.7
Boston,196,Office,79056,51
Boston,197,Office,71898,21.1
Boston,198,Office,57865,73.8
Boston,199,Office,72912,63.3
Boston,200,Multifamily Housing,42548,62.3
Boston,201,Multifamily Housing,207496,65.6
Boston,202,Office,115331,81.2
Boston,203,Office,91482,50.8
Boston,204,Office,41818,85.5
Boston,205,Office,648403,57.9
Boston,206,Office,40933,116.9
Boston,207,Office,94381,83.3
Boston,208,Multifamily Housing,138000,57.3
Boston,209,Office,36394,54.2
Boston,210,Office,36192,58.4
Boston,211,Office,117801,44.2
Boston,212,Office,25000,95.9
Boston,213,Office,111535,120.1
Boston,214,Office,91520,95.2
Boston,215,Multifamily Housing,60000,42.6
Boston,216,Multifamily Housing,125000,51.6
Boston,217,Multifamily Housing,51784,69.1
Boston,218,Multifamily Housing,48000,13.2
Boston,219,Office,199000,7.6
Boston,220,Office,95855,106.1
Boston,221,Office,139733,46.2
Boston,222,Multifamily Housing,35100,98.8
Boston,223,Office,149000,17.6
Boston,224,Multifamily Housing,44010,99.1
Boston,225,Office,40398,57.3
Boston,226,Multifamily Housing,14400,86.9
Boston,227,Office,309915,56.1
Boston,228,Office,107216,98.1
Boston,229,Multifamily Housing,50000,56.2
Boston,230,Multifamily Housing,78100,63.9
Boston,231,Office,42911,43.6
Boston,232,Office,128641,56.9
Boston,233,Office,38000,39.2
Boston,234,Office,93824,78.9
Boston,235,Multifamily Housing,76038,43.9
Boston,236,Office,58921,46.6
Boston,237,Office,164124,58.1
Boston,238,Office,82925,54.4
Boston,239,Multifamily Housing,195022,88.6
Boston,240,Office,497530,118.5
Boston,241,Multifamily Housing,24850,69.8
Boston,242,Multifamily Housing,30565,52.5
Boston,243,Office,180096,78.9
Boston,244,Multifamily Housing,48392,19.9
Boston,245,Multifamily Housing,49900,5.5
Boston,246,Multifamily Housing,36493,96.9
Boston,247,Multifamily Housing,32350,3.6
Boston,248,Multifamily Housing,50000,57.8
Boston,249,Office,71880,88.3
Boston,250,Office,290759,67.4
Boston,251,Office,813721,46.2
Boston,252,Multifamily Housing,200755,63.7
Boston,253,Office,682117,82
Boston,254,Multifamily Housing,580000,107.1
Boston,255,Multifamily Housing,52974,213.2
Boston,256,Multifamily Housing,19824,9.1
Boston,257,Multifamily Housing,225372,198.4
Boston,258,Multifamily Housing,180000,134.8
Boston,259,Multifamily Housing,306414,98.3
Boston,260,Multifamily Housing,122456,97.5
Boston,261,Office,99000,60.6
Boston,262,Office,193662,40
Boston,263,Multifamily Housing,241144,148.8
Boston,264,Multifamily Housing,124863,121.7
Boston,265,Multifamily Housing,39225,4.4
Boston,266,Office,1321219,51.7
Boston,267,Office,104036,99.9
Boston,268,Office,97790,70.4
Boston,269,Office,141961,107.7
Boston,270,Multifamily Housing,17839,93.1
Boston,271,Office,36801,57
Boston,272,Office,424121,116.2
Boston,273,Multifamily Housing,126333,77.2
Boston,274,Multifamily Housing,14400,96.9
Boston,275,Multifamily Housing,180000,71.5
Boston,276,Multifamily Housing,19200,87.2
Boston,277,Office,49336,27.2
Boston,278,Office,958470,76.1
Boston,279,Multifamily Housing,36000,348.8
Boston,280,Multifamily Housing,46420,29.8
Boston,281,Multifamily Housing,40500,92.3
Boston,282,Office,58275,70.2
Boston,283,Multifamily Housing,18568,80.4
